model,operating_point,roc_auc,pr_auc,accuracy,precision,recall,f1
Logistic Regression,Threshold 0.50,0.7895281189398836,0.4795457367347348,0.7559241706161137,0.3467741935483871,0.6615384615384615,0.455026455026455
Random Forest,Threshold 0.50,0.8097608274078862,0.4894320952988071,0.8720379146919431,0.6666666666666666,0.3384615384615385,0.4489795918367347
Hybrid Attention,Threshold 0.50,0.7966386554621848,0.4221066193201295,0.8554502369668247,0.75,0.0923076923076923,0.1643835616438356
Hybrid Attention,Validation-selected threshold 0.18,0.7966386554621848,0.4221066193201295,0.7488151658767772,0.3481481481481481,0.7230769230769231,0.47
