Dataset,Ablation,Metric,Full Hybrid Mean,Ablation Mean,Δ Ablation − Full,95% CI Lower,95% CI Upper,Paired Cohen's d,Rank-Biserial,Wilcoxon p,Wilcoxon Holm p,Exact Sign-Flip p,Sign-Flip Holm p,Observed Direction
PC1,A2 No Semantic Tokenization,PR-AUC,0.23990893000697,0.2143761380189215,-0.0255327919880484,-0.0748952462990286,0.0238296623229316,-0.6422522750886261,-0.6,0.3125,1.0,0.3125,1.0,ablation_lower
PC1,A3 Single-Head Attention,PR-AUC,0.23990893000697,0.2434988824238869,0.0035899524169168,-0.0194605558351762,0.02664046066901,0.1933803204077084,0.2,0.8125,1.0,0.6875,1.0,ablation_higher
CM1,A1 No Self-Attention,ROC-AUC,0.7987368421052631,0.7029473684210527,-0.0957894736842105,-0.1585534045289087,-0.0330255428395122,-1.895011024323347,-1.0,0.0625,0.9375,0.0625,0.9375,ablation_lower
CM1,A2 No Semantic Tokenization,ROC-AUC,0.7987368421052631,0.8286315789473685,0.0298947368421053,0.0039742916185849,0.0558151820656256,1.4320440159313228,0.8666666666666667,0.125,1.0,0.125,1.0,ablation_higher
CM1,A3 Single-Head Attention,ROC-AUC,0.7987368421052631,0.7791578947368422,-0.019578947368421,-0.0298952602917851,-0.0092626344450569,-2.356508013152374,-1.0,0.0625,0.9375,0.0625,0.9375,ablation_lower
JM1,A1 No Self-Attention,ROC-AUC,0.722110250662319,0.72029413762652,-0.0018161130357992,-0.006023923466636,0.0023916973950376,-0.5359086893969153,-0.4666666666666667,0.4375,1.0,0.375,1.0,ablation_lower
JM1,A2 No Semantic Tokenization,ROC-AUC,0.722110250662319,0.7185010076308221,-0.0036092430314969,-0.0070693630396788,-0.000149123023315,-1.295176792244382,-1.0,0.0625,0.9375,0.0625,0.9375,ablation_lower
JM1,A3 Single-Head Attention,ROC-AUC,0.722110250662319,0.7220458302198673,-6.442044245182909e-05,-0.0026041895131265,0.0024753486282229,-0.031494416190974,0.0666666666666666,1.0,1.0,1.0,1.0,ablation_lower
KC1,A1 No Self-Attention,ROC-AUC,0.7610427315477406,0.7560457984052341,-0.0049969331425066,-0.021076810082623,0.0110829437976098,-0.3858556882983675,-0.4666666666666667,0.4375,1.0,0.4375,1.0,ablation_lower
KC1,A2 No Semantic Tokenization,ROC-AUC,0.7610427315477406,0.7773420568390922,0.0162993252913514,0.002063384865868,0.0305352657168348,1.42163319067107,1.0,0.0625,0.9375,0.0625,0.9375,ablation_higher
KC1,A3 Single-Head Attention,ROC-AUC,0.7610427315477406,0.7557145777959517,-0.0053281537517889,-0.0181841678032562,0.0075278602996782,-0.5146055895711825,-0.6,0.3125,1.0,0.3125,1.0,ablation_lower
KC2,A1 No Self-Attention,ROC-AUC,0.8231139646869983,0.8227929373996791,-0.0003210272873193,-0.0091327042503984,0.0084906496757597,-0.0452363411386562,-0.0666666666666666,1.0,1.0,0.9375,1.0,ablation_lower
KC2,A2 No Semantic Tokenization,ROC-AUC,0.8231139646869983,0.8279293739967896,0.0048154093097913,-0.0043570272352893,0.0139878458548719,0.6518573715061381,0.8,0.25,1.0,0.25,1.0,ablation_higher
KC2,A3 Single-Head Attention,ROC-AUC,0.8231139646869983,0.8161048689138577,-0.0070090957731406,-0.0229055951422232,0.0088874035959419,-0.5474753704829771,-0.6,0.3125,1.0,0.25,1.0,ablation_lower
PC1,A1 No Self-Attention,ROC-AUC,0.6886363636363637,0.671324354657688,-0.0173120089786756,-0.0486363223956306,0.0140123044382793,-0.6862304689419582,-0.6,0.3125,1.0,0.25,1.0,ablation_lower
PC1,A2 No Semantic Tokenization,ROC-AUC,0.6886363636363637,0.6959034792368126,0.0072671156004489,-0.0142738061250941,0.0288080373259919,0.4188918156256316,0.3333333333333333,0.625,1.0,0.5625,1.0,ablation_higher
PC1,A3 Single-Head Attention,ROC-AUC,0.6886363636363637,0.6865039281705949,-0.0021324354657688,-0.0124485620906251,0.0081836911590874,-0.256663032805197,-0.0666666666666666,1.0,1.0,0.75,1.0,ablation_lower
