epoch,train_loss,validation_loss,validation_roc_auc,validation_pr_auc,learning_rate
1,0.5853046771418842,0.5254616159381289,0.7851140456182473,0.6320778041138349,0.001
2,0.42038545787678977,0.4640928904215495,0.7923169267707082,0.6412108351411091,0.001
3,0.3693734634818369,0.4664838964288885,0.7911164465786314,0.641081969134313,0.001
4,0.355511169213091,0.4738437695936723,0.7983193277310925,0.6363509004488799,0.001
5,0.3544082906893912,0.470138744874434,0.8043217286914766,0.6427013353596863,0.001
6,0.35642819976531015,0.4648252978469386,0.8055222088835534,0.6487111167998838,0.001
7,0.3573502994686193,0.46690393939162744,0.8067226890756303,0.6480887170506993,0.001
8,0.35206668793810586,0.46699646747473517,0.8019207683073228,0.6310388230893198,0.0005
9,0.3479895202410703,0.4651001005461722,0.8031212484993997,0.6350691975424413,0.0005
10,0.345274468722371,0.46682360678008106,0.7995198079231691,0.6343352141094959,0.0005
11,0.34950492966037267,0.46769205006686126,0.7995198079231692,0.6338927269542061,0.0005
12,0.3498669425187083,0.46919509858796093,0.8007202881152461,0.6334699791266138,0.0005
