epoch,train_loss,validation_loss,validation_roc_auc,validation_pr_auc,learning_rate
1,0.6503956714165178,0.5237720929391203,0.7754777070063694,0.20861490073359032,0.001
2,0.4166047653167862,0.3321624583842462,0.8055050045495905,0.2429265880491893,0.001
3,0.2614424499448317,0.2629846953596288,0.8023202911737943,0.24516639989329067,0.001
4,0.21634734642802844,0.2645890873513724,0.7782074613284804,0.24185294304993346,0.001
5,0.2143415963468129,0.2668070133056557,0.7595541401273885,0.2541901469998292,0.001
6,0.21109831172178325,0.2681484745695577,0.7490900818926296,0.27814689545179566,0.001
7,0.2066990993194633,0.26921624607510036,0.7409008189262967,0.29112120168717126,0.001
8,0.20424697232378486,0.26704690049876245,0.725432211101001,0.29285374641855033,0.001
9,0.20445031171195063,0.26569938165141127,0.7126933575978162,0.28952949600892985,0.0005
10,0.204370443427992,0.267139863527832,0.7131483166515014,0.2992311948702926,0.0005
11,0.2004008524718377,0.2664130381716971,0.7108735213830756,0.29880876791836253,0.0005
12,0.19853736868855695,0.26746635960295184,0.7117834394904459,0.30012748409234336,0.0005
13,0.19934466854769767,0.2691364183324819,0.7058689717925387,0.29852090449560703,0.0005
