epoch,train_loss,validation_loss,validation_roc_auc,validation_pr_auc,learning_rate
1,0.46693384060024345,0.37096118660043037,0.7815953307392995,0.4758717763308066,0.001
2,0.365644564115218,0.36880673766621547,0.7920622568093386,0.4880552283542035,0.001
3,0.36109605026941227,0.36787207956131585,0.7916342412451363,0.4869211839500258,0.001
4,0.3539684639359913,0.36363766068161896,0.8051361867704279,0.515979418799207,0.001
5,0.3508332914026984,0.36011397294967107,0.8049805447470817,0.5166531854709127,0.001
6,0.3474265377886974,0.3593769936249,0.8044747081712061,0.5299427903613927,0.001
7,0.34384587541983946,0.35657035806959536,0.8049805447470817,0.535476813677934,0.001
8,0.34314075778000547,0.3543783490354929,0.8026070038910506,0.5267330059328702,0.001
9,0.3446154025784374,0.35841470415603843,0.8013618677042802,0.5237385466147625,0.001
10,0.3358390592745621,0.3542111481779561,0.802023346303502,0.5213784998964526,0.001
11,0.3339865448701121,0.35327645262600155,0.8032295719844358,0.519518378239565,0.001
12,0.3352503301018346,0.3542064666650971,0.8022568093385216,0.5052804081328688,0.001
13,0.3346502914263384,0.35424435352269523,0.8007782101167316,0.5063458452735845,0.001
14,0.32929348893409227,0.3555741628771496,0.8017898832684824,0.4925446443287036,0.001
15,0.3295095035847086,0.3593369247664846,0.8021011673151751,0.5008607595603933,0.001
16,0.32694794877167166,0.35397915054318957,0.8012451361867704,0.491674307137972,0.001
17,0.32129719870804,0.366231229823653,0.8028015564202334,0.4936718276340447,0.0005
18,0.31699121137605096,0.3535259460927221,0.8056420233463035,0.49425036087020824,0.0005
19,0.3183395353982048,0.3539413330463711,0.8027237354085603,0.48415946434768475,0.0005
20,0.3175680108749083,0.3520884198843462,0.805136186770428,0.5004610479453953,0.0005
21,0.30997389763811206,0.36006388036649467,0.8007392996108949,0.49370491147024387,0.0005
22,0.31281943991236444,0.35549301163866776,0.8036964980544747,0.4910264844695443,0.0005
23,0.312906686319922,0.35848210754437243,0.8021400778210117,0.49443060254638516,0.0005
24,0.3096065196677716,0.3556222093658649,0.8011284046692606,0.4921143631579758,0.0005
25,0.30829081339557673,0.3558039723710439,0.7981322957198443,0.5006431049036029,0.0005
26,0.3069482956924578,0.35766849047974575,0.7999221789883268,0.4924015283408605,0.00025
27,0.3047126435015323,0.3582670600775399,0.8000389105058366,0.4936448865473554,0.00025
28,0.30196822298704273,0.3597054121839884,0.797431906614786,0.48778206299315574,0.00025
29,0.30122310867274765,0.3571085431870886,0.7989494163424125,0.4909571918962479,0.00025
30,0.30774088732517546,0.3574221711302425,0.7963813229571984,0.488188009576222,0.00025
