epoch,train_loss,validation_loss,validation_roc_auc,validation_pr_auc,learning_rate
1,0.5432945943935426,0.42674790209496927,0.7572793448589626,0.2653359586239242,0.001
2,0.33806723756638263,0.2943415295833733,0.7622838944494996,0.29526051196064007,0.001
3,0.23899016329126013,0.2570730933581876,0.7631938125568699,0.2707907940376381,0.001
4,0.20213534709819467,0.25770709537274655,0.7672884440400363,0.269231662696192,0.001
5,0.193673101571128,0.2609011750907926,0.7631938125568699,0.2536925885847438,0.001
6,0.19050876301948053,0.26347840082837126,0.7559144676979072,0.24884078283748878,0.001
7,0.18142215573226317,0.26385882087269724,0.7577343039126478,0.2470218412584958,0.001
8,0.17397225447969092,0.2675150319476399,0.760919017288444,0.257221463994863,0.001
9,0.17309706623039087,0.26504114568669196,0.7604640582347588,0.2820974810835546,0.0005
10,0.16701273199098593,0.26439479154627227,0.7672884440400365,0.28627565971157737,0.0005
11,0.16479817726275267,0.2647364711094844,0.7663785259326661,0.28919923339771925,0.0005
12,0.161532302642463,0.269071555963298,0.7650136487716106,0.28752850578149663,0.0005
13,0.15858902899842514,0.2672859500189535,0.7650136487716106,0.28750685255787295,0.0005
