epoch,train_loss,validation_loss,validation_roc_auc,validation_pr_auc,learning_rate
1,0.5017636140958094,0.40770722603240206,0.7859417652411284,0.27902239192442063,0.001
2,0.3269643110334048,0.2897761227094639,0.771383075523203,0.2504536536823478,0.001
3,0.23987688231501222,0.26219270186640364,0.7654686078252957,0.24875108101377363,0.001
4,0.21538056689121057,0.2639806654021057,0.7545495905368517,0.24412449285049115,0.001
5,0.21118035670008686,0.26737516477965473,0.7486351228389445,0.28228112643931724,0.001
6,0.21044470369815826,0.26868210051056235,0.7418107370336671,0.2907811480454515,0.001
7,0.20768912105596626,0.2679749614836877,0.7327115559599637,0.2880314450670269,0.001
8,0.209651092681363,0.2699750235511197,0.725432211101001,0.28178093093579787,0.001
9,0.2049950876807242,0.270360098879414,0.7022292993630573,0.28590213677202747,0.0005
10,0.20455526859806517,0.27047137552273204,0.6935850773430391,0.2736948991342238,0.0005
11,0.20041109257251272,0.26950170012593966,0.6908553230209281,0.28403999131536023,0.0005
12,0.201402816168159,0.2708942847250149,0.6908553230209281,0.28447347591718797,0.0005
13,0.2032163493190776,0.2722734108305814,0.6885805277525023,0.28419534293661913,0.0005
