epoch,train_loss,validation_loss,validation_roc_auc,validation_pr_auc,learning_rate
1,0.4355906553512072,0.3707043376875623,0.7884824902723736,0.5194389022350494,0.001
2,0.3570594687096394,0.36495201578454783,0.8009727626459143,0.5358721620448708,0.001
3,0.3498159196690051,0.36036102301425965,0.8061089494163425,0.5395068076896621,0.001
4,0.3438315626043473,0.3561848934727694,0.8071206225680934,0.5428144648595183,0.001
5,0.34650770987037327,0.3546568982618639,0.8090272373540857,0.5462003031366109,0.001
6,0.34383954392732496,0.35660318336191704,0.8094941634241245,0.5393069992792338,0.001
7,0.3386948594211662,0.3521117310279355,0.8101167315175097,0.5263074714602455,0.001
8,0.33872153663287197,0.35357388380781446,0.8084046692607003,0.5238531406157261,0.001
9,0.3383064328318965,0.35813845718334086,0.809727626459144,0.5372500463312385,0.001
10,0.3356581968547654,0.35311962863133084,0.8067704280155642,0.5210483672396526,0.001
11,0.3342987042491453,0.35723277062468883,0.8069260700389105,0.5016991863919447,0.001
12,0.3325576477677283,0.3543202597465888,0.806147859922179,0.5002736624942696,0.001
13,0.3355549788605558,0.35326906686788273,0.8068093385214008,0.48782014186110323,0.0005
14,0.33115766892467974,0.3511598413075997,0.8063035019455254,0.497813528947419,0.0005
15,0.3293899565282529,0.35532792194076,0.8078599221789883,0.5035884134608816,0.0005
16,0.3309508318448589,0.3538002123273545,0.8075097276264591,0.5042405402280017,0.0005
17,0.326250146688336,0.3508977559956355,0.8082101167315174,0.5010808335855967,0.0005
18,0.32602320865993084,0.35010124818218646,0.8071984435797666,0.507895377761216,0.0005
19,0.32418263589378693,0.35362928989267506,0.80715953307393,0.5014377364843164,0.0005
20,0.32273362104910136,0.3517077076901054,0.8101556420233462,0.49778114491625625,0.0005
21,0.32640610707067225,0.3512491809283095,0.8113229571984436,0.5099479910911041,0.0005
22,0.3238097642677544,0.3528929519245601,0.8104669260700389,0.4970609808821428,0.0005
23,0.3222204758738079,0.35326929783588124,0.8109727626459143,0.4980262050553186,0.0005
24,0.326333178003339,0.3522292791777791,0.8129182879377431,0.5024862040301813,0.00025
25,0.3236150942144603,0.3525634031342373,0.812295719844358,0.5021899854748331,0.00025
26,0.31875789426539064,0.3512455809873556,0.8113618677042802,0.5024080613779914,0.00025
27,0.3196230893587544,0.35058140893032963,0.8127626459143968,0.5029304993136261,0.00025
28,0.31571397374581245,0.3519609796932932,0.8117509727626459,0.5030346717253746,0.00025
