dataset,baseline_model,metric,analysis_group,n_pairs,hybrid_mean,baseline_mean,mean_difference_hybrid_minus_baseline,sd_paired_difference,ci95_lower,ci95_upper,paired_cohens_d,paired_rank_biserial,wilcoxon_statistic,wilcoxon_p_value,wilcoxon_p_holm_by_metric,exact_sign_flip_p_value,sign_flip_p_holm_by_metric,observed_direction
JM1,random_forest,roc_auc,primary,5,0.722110250662319,0.718030364785001,0.00407988587731809,0.003857312875283129,-0.0007096006497288258,0.008869372404365005,1.057701568224129,0.8666666666666667,1.0,0.125,0.9375,0.125,0.9375,hybrid_attention_higher
JM1,random_forest,pr_auc,primary,5,0.3792354380074763,0.38543375685990455,-0.006198318852428308,0.003799580444683498,-0.010916121098870865,-0.0014805166059857506,-1.6313166526323206,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_lower
JM1,random_forest,f1,primary,5,0.1677261478437791,0.28942776273529885,-0.12170161489151973,0.02849968272282539,-0.1570886448886819,-0.08631458489435756,-4.270279640483468,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_lower
JM1,random_forest,accuracy,supplementary,5,0.8411414982164092,0.8353547364248911,0.005786761791518047,0.002108511467026609,0.003168699013111298,0.008404824569924797,2.744477268448746,1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_higher
JM1,random_forest,precision,supplementary,5,0.6591247009101033,0.5141455130710983,0.14497918783900504,0.03257989003464775,0.10452591131754527,0.18543246436046482,4.4499593978010346,1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_higher
JM1,random_forest,recall,supplementary,5,0.09666666666666664,0.20142857142857137,-0.10476190476190475,0.017896781402824906,-0.12698369391351513,-0.08254011561029437,-5.8536729260921,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_lower
JM1,mlp,roc_auc,primary,5,0.722110250662319,0.697703167810158,0.02440708285216131,0.005953213824672054,0.01701519157245707,0.03179897413186555,4.099816262438017,1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_higher
JM1,mlp,pr_auc,primary,5,0.3792354380074763,0.3629184289543012,0.016317009053175013,0.014072944642722136,-0.0011568596584076302,0.03379087776475766,1.1594594782701289,0.8666666666666667,1.0,0.125,0.9375,0.125,0.9375,hybrid_attention_higher
JM1,mlp,f1,primary,5,0.1677261478437791,0.27035436192574086,-0.1026282140819618,0.05857514574025021,-0.1753588637371692,-0.029897564426754397,-1.7520778272932285,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_lower
JM1,mlp,accuracy,supplementary,5,0.8411414982164092,0.8351169242964724,0.006024573919936582,0.0029845185250918452,0.002318804715357833,0.009730343124515331,2.0186083179869634,1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_higher
JM1,mlp,precision,supplementary,5,0.6591247009101033,0.5118884396283917,0.1472362612817117,0.03399981917261675,0.1050199098696353,0.18945261269378808,4.330501304556787,1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_higher
