epoch,train_loss,validation_loss,validation_roc_auc,validation_pr_auc,learning_rate
1,0.43348751147543635,0.4109370689005612,0.6732523247868327,0.3010542770599035,0.001
2,0.39659691495905774,0.407878313407506,0.6812520620902207,0.3142626273493992,0.001
3,0.3942019368085658,0.4054679283404459,0.6855451189249453,0.32382790227278024,0.001
4,0.39217309230292957,0.404226565252156,0.6875708538108991,0.3294257955920724,0.001
5,0.39159097173177176,0.4028886621129023,0.6894605493799265,0.33136693092899316,0.001
6,0.389591406623237,0.40352725080431323,0.6917012889334361,0.3310285877017792,0.001
7,0.38887095099665814,0.4048382464473106,0.6903010221712813,0.33268719409927444,0.001
8,0.38929959413174425,0.4039711624792177,0.6937973889833172,0.3336032329888632,0.001
9,0.39011931630666846,0.40385057854053635,0.6935002916245128,0.33574176629532637,0.001
10,0.3888989514701429,0.4040597836993056,0.694749664201801,0.33477166389371255,0.001
11,0.3883745623882998,0.4053916577606985,0.6932469770343742,0.33657858747403385,0.0005
12,0.38780861234808117,0.40293044473754763,0.6955432268838708,0.33558319047312857,0.0005
13,0.38748836878499804,0.403300069265714,0.6958473607590681,0.3364026346211744,0.0005
14,0.38622046659080095,0.4041349030112567,0.6958715976488653,0.33706195996319965,0.0005
15,0.3859346847261252,0.403535299513438,0.6962414056770615,0.33695325082031974,0.0005
