epoch,train_loss,validation_loss,validation_roc_auc,validation_pr_auc,learning_rate
1,0.4268433211058596,0.37264275317859963,0.7871984435797665,0.4966323662890708,0.001
2,0.36091156554048076,0.36866897208682875,0.7964591439688716,0.5015610797174432,0.001
3,0.35607880641074074,0.3619240757308488,0.805136186770428,0.5201082095034522,0.001
4,0.3524375892903683,0.3632573340731257,0.8085992217898832,0.5392340776468589,0.001
5,0.34720743185412273,0.35936105557101555,0.8117898832684824,0.537963113272255,0.001
6,0.3450164025717408,0.35520980771667404,0.814124513618677,0.5365474029601438,0.001
7,0.3407863790536449,0.34919797927626567,0.8150972762645914,0.5394747537827896,0.001
8,0.33951189365700213,0.35311822386925695,0.814124513618677,0.5411897215065821,0.001
9,0.3404272382711842,0.35590844861070964,0.8145914396887161,0.5377982349536113,0.001
10,0.33691612207976573,0.35441313754366743,0.8111284046692607,0.5285084646461656,0.001
11,0.33254730971190183,0.3503179090030807,0.8123346303501946,0.5171611780523225,0.001
12,0.3342809307531719,0.3533244515960302,0.8114007782101168,0.49841856947482904,0.001
13,0.335058667798982,0.3575245049275482,0.8112451361867704,0.5174671328892052,0.0005
14,0.33210211853041266,0.35254019887128946,0.8101945525291829,0.5140402364452976,0.0005
15,0.32809706743616257,0.35250289920195693,0.811284046692607,0.5108843485661486,0.0005
16,0.3253823006457656,0.35385889941007387,0.8123735408560312,0.5158396795980746,0.0005
17,0.3263096852894247,0.3604298488324939,0.8102334630350195,0.5106920028862386,0.0005
