epoch,train_loss,validation_loss,validation_roc_auc,validation_pr_auc,learning_rate
1,0.4120740257111445,0.40722085460680263,0.6875903996897678,0.324125171020913,0.001
2,0.39500144973069085,0.4056149963510635,0.6864082649357879,0.3226736836634265,0.001
3,0.3922809188076161,0.41054469896778123,0.6926910922393479,0.33517418458014003,0.001
4,0.39190871803152055,0.404160507710557,0.6931117195526026,0.33619626268265157,0.001
5,0.38922261373972306,0.4081934016861328,0.696096766173433,0.3376891457621318,0.001
6,0.3880468829685324,0.4016915989112636,0.7001544906265783,0.3415073693072521,0.001
7,0.3868950845502793,0.41263880540519,0.6998511385865358,0.34694021748521214,0.001
8,0.3854563915466984,0.40968190481945804,0.6982741770794079,0.3406790794749138,0.001
9,0.38386429065515765,0.39725155939250234,0.7067695978709065,0.3483114685988701,0.001
10,0.3825063789014386,0.40142899948984523,0.705384185976692,0.3524082305161171,0.001
11,0.3800728395449625,0.40008365901093507,0.7033209230033104,0.3452457683241235,0.001
12,0.3809773637772224,0.4021540620011282,0.7049635586634372,0.3477508583974638,0.001
13,0.37883777315014877,0.41001069964883535,0.7017251974524683,0.3423923687972561,0.001
14,0.3755846149599071,0.4071663184797383,0.702233390303055,0.33608163417863174,0.001
15,0.37572775840997946,0.4085240130282973,0.7045312038228612,0.3421625747634679,0.0005
16,0.3716900278079806,0.4073079431710178,0.7025586337274303,0.33103014149492394,0.0005
17,0.3699768722204757,0.4048070414697743,0.7034757263639506,0.33653788584586564,0.0005
18,0.36772318967252693,0.40683192504595406,0.7006759746747957,0.3374932715253354,0.0005
19,0.3673391147365195,0.4126679629495699,0.7036618031307806,0.3320553456289542,0.0005
