epoch,train_loss,validation_loss,validation_roc_auc,validation_pr_auc,learning_rate
1,0.4148856966252069,0.40561432710521295,0.6917833816246848,0.3214785609265801,0.001
2,0.388595113104525,0.3996072326348797,0.700205309911637,0.3404523399492221,0.001
3,0.38654663750272017,0.39919361295221056,0.7050057777617936,0.34127832458355595,0.001
4,0.38398038760440084,0.40348333547648774,0.7080971539636696,0.3392033383224584,0.001
5,0.3828166690960521,0.4002420350024689,0.7027869295926169,0.3400503779549149,0.001
6,0.38207940113739614,0.4041778178655938,0.7069846025384623,0.34282555247234603,0.001
7,0.3799292816299107,0.4014646834162272,0.7034639988366291,0.336396897483515,0.001
8,0.37924389351440563,0.4108866112825533,0.7040941579713568,0.33908250825027897,0.001
9,0.3780657210200937,0.39947489894688404,0.7068610725840121,0.34670480859324293,0.0005
10,0.3745400955344016,0.40096206083961816,0.7072574630074696,0.3468078410832825,0.0005
11,0.37459851755240603,0.4053984563508535,0.7083379591913324,0.34342340566780566,0.0005
12,0.374440550288187,0.4007508416970571,0.7074685584992517,0.33891399961421087,0.0005
13,0.3735379847750452,0.4017318826968267,0.7063247336678545,0.34491845635513513,0.0005
