epoch,train_loss,validation_loss,validation_roc_auc,validation_pr_auc,learning_rate
1,0.6088260117086391,0.5395617995943341,0.6817434210526315,0.31882267887516547,0.001
2,0.5063022596936395,0.4458585267975217,0.6439144736842105,0.3299649379551757,0.001
3,0.42840923778833306,0.37585965508506414,0.6389802631578948,0.3309607009195452,0.001
4,0.3687363470449417,0.3313539397148859,0.6389802631578947,0.3309607009195452,0.001
5,0.3251525102406258,0.30784283933185397,0.634046052631579,0.330487557444419,0.001
6,0.3034454018938503,0.29785512742542086,0.6324013157894737,0.32379112887299044,0.001
7,0.29607533849172996,0.29553717374801636,0.6348684210526316,0.3199114684860299,0.001
8,0.2827258745154131,0.294095584324428,0.6356907894736842,0.32115743157142385,0.001
9,0.28197372427457357,0.2935318975221543,0.6488486842105263,0.3252340535818217,0.001
10,0.283526871582451,0.292908733799344,0.6587171052631579,0.32801727207977205,0.001
11,0.283486210123235,0.2911510439146133,0.6685855263157894,0.33315713095124855,0.001
12,0.2722677821866131,0.29027306465875535,0.6735197368421053,0.2729949855830137,0.001
13,0.26894039909044903,0.28836720614206224,0.6833881578947368,0.2501004852587333,0.001
14,0.27030044678345466,0.2876780430475871,0.7080592105263158,0.2610375064004096,0.001
15,0.2629742843240596,0.2837554755665007,0.716282894736842,0.2698708879311596,0.001
16,0.26554699627905604,0.28136871258417767,0.7261513157894738,0.24689578370109252,0.001
17,0.254962030737917,0.28210768529347013,0.7228618421052632,0.2435543511588403,0.001
18,0.24958368914027043,0.2814192090715681,0.7245065789473685,0.25646335479492255,0.001
19,0.24583302751713973,0.283749167408262,0.7277960526315789,0.292512774784216,0.001
20,0.2390311392669153,0.28355834171885536,0.727796052631579,0.2825140915119363,0.001
21,0.237711576485711,0.28504460482370286,0.7310855263157895,0.2812864219114219,0.001
22,0.24127895517642445,0.2868245542049408,0.7212171052631579,0.25826411453048437,0.0005
23,0.23491227028825137,0.2880972212269193,0.7195723684210525,0.25483004859641845,0.0005
24,0.23191539774434852,0.2892015760853177,0.721217105263158,0.2625651375815074,0.0005
25,0.2278632980720125,0.2924416831561497,0.721217105263158,0.27923180424817406,0.0005
26,0.22542435875988315,0.29304960511979605,0.7179276315789475,0.25579430424817406,0.0005
