dataset,baseline_model,metric,analysis_group,training_seeds,split_seed,n_pairs,hybrid_mean,baseline_mean,mean_difference_hybrid_minus_baseline,sd_paired_difference,wilcoxon_statistic,wilcoxon_p_value,exact_sign_flip_p_value,paired_rank_biserial,wilcoxon_p_holm_by_metric,sign_flip_p_holm_by_metric,observed_direction,wilcoxon_holm_significant_alpha_0.05,sign_flip_holm_significant_alpha_0.05
KC2,random_forest,f1,primary,"42,43,44,45,46",42,5,0.44419067333678336,0.4556451612903226,-0.011454487953539228,0.02606351648985729,3.0,0.625,0.5,-0.4,1.0,1.0,hybrid_attention_lower,False,False
PC1,logistic_regression,f1,primary,"42,43,44,45,46",42,5,0.021052631578947358,0.0909090909090909,-0.06985645933014353,0.047075115315785024,1.0,0.125,0.125,-0.8666666666666667,1.0,1.0,hybrid_attention_lower,False,False
PC1,mlp,f1,primary,"42,43,44,45,46",42,5,0.021052631578947358,0.01666666666666666,0.004385964912280699,0.06694884878277957,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,hybrid_attention_higher,False,False
PC1,random_forest,f1,primary,"42,43,44,45,46",42,5,0.021052631578947358,0.16450216450216446,-0.1434495329232171,0.0857949071339632,1.0,0.125,0.125,-0.8666666666666667,1.0,1.0,hybrid_attention_lower,False,False
CM1,logistic_regression,pr_auc,primary,"42,43,44,45,46",42,5,0.26280793392223106,0.3607520676839967,-0.09794413376176564,0.013785922773521916,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,hybrid_attention_lower,False,False
CM1,mlp,pr_auc,primary,"42,43,44,45,46",42,5,0.26280793392223106,0.3342312084292294,-0.07142327450699827,0.019909866199043714,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,hybrid_attention_lower,False,False
CM1,random_forest,pr_auc,primary,"42,43,44,45,46",42,5,0.26280793392223106,0.3154733095274169,-0.052665375605185874,0.01739066226544905,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,hybrid_attention_lower,False,False
JM1,logistic_regression,pr_auc,primary,"42,43,44,45,46",42,5,0.3792354380074763,0.3753051177070119,0.00393032030046434,0.0035560663890511113,0.0,0.0625,0.0625,1.0,0.9375,0.9375,hybrid_attention_higher,False,False
JM1,mlp,pr_auc,primary,"42,43,44,45,46",42,5,0.3792354380074763,0.3629184289543012,0.016317009053175013,0.014072944642722136,1.0,0.125,0.125,0.8666666666666667,0.9375,0.9375,hybrid_attention_higher,False,False
JM1,random_forest,pr_auc,primary,"42,43,44,45,46",42,5,0.3792354380074763,0.38543375685990455,-0.006198318852428308,0.003799580444683498,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,hybrid_attention_lower,False,False
KC1,logistic_regression,pr_auc,primary,"42,43,44,45,46",42,5,0.35857753752154486,0.4164660042762571,-0.05788846675471223,0.0024957794762620208,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,hybrid_attention_lower,False,False
KC1,mlp,pr_auc,primary,"42,43,44,45,46",42,5,0.35857753752154486,0.3806815397489616,-0.02210400222741672,0.006526746631561742,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,hybrid_attention_lower,False,False
KC1,random_forest,pr_auc,primary,"42,43,44,45,46",42,5,0.35857753752154486,0.37819325340589616,-0.019615715884351303,0.011857538962886398,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,hybrid_attention_lower,False,False
KC2,logistic_regression,pr_auc,primary,"42,43,44,45,46",42,5,0.581355140882453,0.583305877050964,-0.0019507361685109803,0.010450680686257506,5.0,0.625,0.6875,-0.3333333333333333,1.0,1.0,hybrid_attention_lower,False,False
KC2,mlp,pr_auc,primary,"42,43,44,45,46",42,5,0.581355140882453,0.6083676266375528,-0.027012485755099735,0.016075096438129523,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,hybrid_attention_lower,False,False
KC2,random_forest,pr_auc,primary,"42,43,44,45,46",42,5,0.581355140882453,0.5755942391526953,0.005760901729757783,0.021864495304793872,4.0,0.4375,0.5625,0.4666666666666667,1.0,1.0,hybrid_attention_higher,False,False
PC1,logistic_regression,pr_auc,primary,"42,43,44,45,46",42,5,0.23990893000697006,0.182942059470449,0.05696687053652107,0.00741611786877953,0.0,0.0625,0.0625,1.0,0.9375,0.9375,hybrid_attention_higher,False,False
PC1,mlp,pr_auc,primary,"42,43,44,45,46",42,5,0.23990893000697006,0.19595351882583864,0.0439554111811314,0.01704927925127697,0.0,0.0625,0.0625,1.0,0.9375,0.9375,hybrid_attention_higher,False,False
PC1,random_forest,pr_auc,primary,"42,43,44,45,46",42,5,0.23990893000697006,0.24087714047218856,-0.000968210465218483,0.006296463022789644,5.0,0.625,0.8125,-0.3333333333333333,1.0,1.0,hybrid_attention_lower,False,False
CM1,logistic_regression,precision,supplementary,"42,43,44,45,46",42,5,0.21666666666666665,0.3333333333333333,-0.11666666666666665,0.12638125740085918,0.0,0.125,0.125,-1.0,1.0,1.0,hybrid_attention_lower,False,False
CM1,mlp,precision,supplementary,"42,43,44,45,46",42,5,0.21666666666666665,0.2,0.016666666666666673,0.2725904538966021,7.5,1.0,1.0,0.0,1.0,1.0,hybrid_attention_higher,False,False
