epoch,train_loss,validation_loss,validation_roc_auc,validation_pr_auc,learning_rate
1,0.6257903624604614,0.4912995281275253,0.7158780709736123,0.23722832945105943,0.001
2,0.379549263917178,0.30342257824557567,0.7372611464968153,0.24372849605984712,0.001
3,0.23702785587376834,0.26409509041678836,0.7477252047315741,0.24349459085098862,0.001
4,0.2129795254102374,0.26899609871600805,0.744085532302093,0.251484433361058,0.001
5,0.21234071580822117,0.2688638536117927,0.7386260236578708,0.2682952154544857,0.001
6,0.2143501678786119,0.2685295680200147,0.7304367606915377,0.27228529906442295,0.001
7,0.21389836374247173,0.27025810121531374,0.731346678798908,0.2876411991619365,0.001
8,0.2073565253425503,0.2687399602598614,0.7267970882620565,0.2932797969467903,0.001
9,0.20585392584761095,0.2708305706711192,0.7222474977252048,0.29209923350067,0.0005
10,0.20157417741673805,0.27058512497453663,0.7090536851683349,0.28857348971115515,0.0005
11,0.20297967396944844,0.27132429707555744,0.70950864422202,0.2886153833014358,0.0005
12,0.2018069926226238,0.27057391642565615,0.7072338489535942,0.28132751517612925,0.0005
13,0.201360757743883,0.2698466177180148,0.7008644222020017,0.2749911499301578,0.0005
