dataset,reference_variant,ablation_variant,ablation_description,metric,analysis_group,n_pairs,reference_mean,ablation_mean,mean_difference_ablation_minus_reference,sd_paired_difference,ci95_lower,ci95_upper,paired_cohens_d,paired_rank_biserial,wilcoxon_statistic,wilcoxon_p_value,wilcoxon_p_holm_by_metric,exact_sign_flip_p_value,sign_flip_p_holm_by_metric,observed_direction
JM1,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,f1,primary,5,0.1677261478437791,0.17248209692342314,0.004755949079644067,0.02518634382465532,-0.0265170272938122,0.03602892545310033,0.1888304675245635,0.2,6.0,0.8125,1.0,0.75,1.0,ablation_higher
KC1,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,f1,primary,5,0.1534031087437311,0.17398187032951953,0.02057876158578847,0.014325687555406927,0.0027910710987239656,0.038366452072852976,1.4364938161743903,0.8666666666666667,1.0,0.125,1.0,0.125,1.0,ablation_higher
KC1,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,f1,primary,5,0.1534031087437311,0.2249083175189225,0.0715052087751914,0.032104838897166636,0.03164178614844767,0.11136863140193512,2.2272408531382473,1.0,0.0,0.0625,0.9375,0.0625,0.9375,ablation_higher
KC1,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,f1,primary,5,0.1534031087437311,0.16447811447811442,0.01107500573438334,0.020460378905590815,-0.01432991014229656,0.03647992161106324,0.5412903536872958,0.4666666666666667,4.0,0.4375,1.0,0.3125,1.0,ablation_higher
KC2,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,f1,primary,5,0.44419067333678336,0.38303511838550774,-0.061155554951275636,0.04041616713021776,-0.11133885462225347,-0.010972255280297799,-1.5131458347902504,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,ablation_lower
KC2,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,f1,primary,5,0.44419067333678336,0.4461559139784946,0.0019652406417112077,0.020429465661361165,-0.02340129137254105,0.02733177265596347,0.0961963799879565,0.0,3.0,1.0,1.0,1.0,1.0,ablation_higher
KC2,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,f1,primary,5,0.44419067333678336,0.37792857142857145,-0.06626210190821194,0.06659007767190318,-0.14894460399100662,0.016420400174582725,-0.9950747051939597,-0.7333333333333333,2.0,0.1875,1.0,0.1875,1.0,ablation_lower
PC1,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,f1,primary,5,0.021052631578947358,0.0,-0.021052631578947358,0.047075115315785024,-0.07950410747784836,0.03739884431995364,-0.4472135954999579,-1.0,0.0,1.0,1.0,1.0,1.0,ablation_lower
PC1,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,f1,primary,5,0.021052631578947358,0.0,-0.021052631578947358,0.047075115315785024,-0.07950410747784836,0.03739884431995364,-0.4472135954999579,-1.0,0.0,1.0,1.0,1.0,1.0,ablation_lower
PC1,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,f1,primary,5,0.021052631578947358,0.0,-0.021052631578947358,0.047075115315785024,-0.07950410747784836,0.03739884431995364,-0.4472135954999579,-1.0,0.0,1.0,1.0,1.0,1.0,ablation_lower
CM1,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,pr_auc,primary,5,0.26280793392223106,0.21367244726547607,-0.04913548665675503,0.037607032119391766,-0.09583078451869648,-0.002440188794813586,-1.3065505010010803,-0.8666666666666667,1.0,0.125,1.0,0.125,1.0,ablation_lower
CM1,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,pr_auc,primary,5,0.26280793392223106,0.30393031083085764,0.04112237690862652,0.01000251821602915,0.028702610148405763,0.053542143668847283,4.111202401284054,1.0,0.0,0.0625,0.9375,0.0625,0.9375,ablation_higher
CM1,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,pr_auc,primary,5,0.26280793392223106,0.25382092137955115,-0.008987012542679923,0.01831888216012969,-0.0317329090082502,0.013758883922890356,-0.4905873875994352,-0.6,3.0,0.3125,1.0,0.3125,1.0,ablation_lower
JM1,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,pr_auc,primary,5,0.3792354380074763,0.37697699384058964,-0.002258444166886653,0.00615517868559553,-0.009901107943301802,0.005384219609528496,-0.3669177260721786,-0.4666666666666667,4.0,0.4375,1.0,0.5,1.0,ablation_lower
JM1,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,pr_auc,primary,5,0.3792354380074763,0.36494364948184266,-0.014291788525633587,0.004093896857398541,-0.01937503286582489,-0.00920854418544228,-3.4909986800974946,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,ablation_lower
JM1,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,pr_auc,primary,5,0.3792354380074763,0.3786158565606727,-0.0006195814468035298,0.007722196133953651,-0.010207954373402089,0.00896879147979503,-0.08023383970776111,-0.06666666666666667,7.0,1.0,1.0,0.875,1.0,ablation_lower
KC1,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,pr_auc,primary,5,0.35857753752154486,0.35666705157302586,-0.0019104859485189695,0.005517177138354764,-0.008760966172926961,0.004939994275889021,-0.3462796101356791,-0.3333333333333333,5.0,0.625,1.0,0.5,1.0,ablation_lower
KC1,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,pr_auc,primary,5,0.35857753752154486,0.3724459262905212,0.01386838876897637,0.01911001144260813,-0.009859824444572172,0.03759660198252491,0.7257132634706374,1.0,0.0,0.0625,0.9375,0.0625,0.9375,ablation_higher
KC1,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,pr_auc,primary,5,0.35857753752154486,0.35134439812257234,-0.007233139398972466,0.015223321969910933,-0.026135390222075314,0.011669111424130383,-0.4751354148108309,-0.4666666666666667,4.0,0.4375,1.0,0.375,1.0,ablation_lower
KC2,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,pr_auc,primary,5,0.581355140882453,0.5846974895280439,0.003342348645590976,0.00882660395759743,-0.0076173277149606386,0.01430202500614259,0.37866756701076126,0.3333333333333333,5.0,0.625,1.0,0.5625,1.0,ablation_higher
KC2,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,pr_auc,primary,5,0.581355140882453,0.6054646801990408,0.024109539316587724,0.02213969954989589,-0.003380528545566138,0.05159960717874158,1.0889731932564142,0.8666666666666667,1.0,0.125,1.0,0.125,1.0,ablation_higher
KC2,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,pr_auc,primary,5,0.581355140882453,0.579212788459296,-0.002142352423157012,0.007653737412510655,-0.01164572261997674,0.007361017773662717,-0.2799093185056445,-0.4666666666666667,4.0,0.4375,1.0,0.5,1.0,ablation_lower
PC1,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,pr_auc,primary,5,0.23990893000697006,0.2156032922927967,-0.024305637714173378,0.020894187281201737,-0.05024919783296861,0.0016379224046218568,-1.1632727029321157,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,ablation_lower
PC1,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,pr_auc,primary,5,0.23990893000697006,0.21437613801892158,-0.025532791988048482,0.03975508219807418,-0.07489524629902865,0.023829662322931683,-0.6422522750886261,-0.6,3.0,0.3125,1.0,0.3125,1.0,ablation_lower
PC1,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,pr_auc,primary,5,0.23990893000697006,0.24349888242388698,0.0035899524169168973,0.018564207616101332,-0.019460555835176294,0.026640460669010088,0.19338032040770844,0.2,6.0,0.8125,1.0,0.6875,1.0,ablation_higher
CM1,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,precision,supplementary,5,0.21666666666666665,0.0,-0.21666666666666665,0.12638125740085918,-0.3735897240290368,-0.05974360930429648,-1.714389230829046,-1.0,0.0,0.125,1.0,0.125,1.0,ablation_lower
CM1,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,precision,supplementary,5,0.21666666666666665,0.0,-0.21666666666666665,0.12638125740085918,-0.3735897240290368,-0.05974360930429648,-1.714389230829046,-1.0,0.0,0.125,1.0,0.125,1.0,ablation_lower
CM1,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,precision,supplementary,5,0.21666666666666665,0.18666666666666668,-0.029999999999999992,0.18611525700191506,-0.2610926141357194,0.20109261413571938,-0.16119043910350295,0.0,5.0,1.0,1.0,0.875,1.0,ablation_lower
JM1,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,precision,supplementary,5,0.6591247009101033,0.6458367299980277,-0.013287970912075652,0.04733921912051104,-0.07206737499709358,0.045491433172942276,-0.2806968758451334,-0.3333333333333333,5.0,0.625,1.0,0.625,1.0,ablation_lower
JM1,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,precision,supplementary,5,0.6591247009101033,0.6133576088055286,-0.045767092104574816,0.030117446352727187,-0.0831628409585895,-0.008371343250560132,-1.5196206068922085,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,ablation_lower
JM1,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,precision,supplementary,5,0.6591247009101033,0.6161533204321641,-0.04297138047793936,0.04431616990000923,-0.09799717318106223,0.012054412225183511,-0.9696546559618278,-0.8666666666666667,1.0,0.125,1.0,0.125,1.0,ablation_lower
KC1,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,precision,supplementary,5,0.394733893557423,0.41342105263157897,0.018687159074155968,0.038620566881811834,-0.029266608413210486,0.06664092656152243,0.4838654784986233,0.4666666666666667,4.0,0.4375,1.0,0.375,1.0,ablation_higher
KC1,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,precision,supplementary,5,0.394733893557423,0.495625730994152,0.1008918374367291,0.03868439794422654,0.052858813217195204,0.14892486165626298,2.608075679042246,1.0,0.0,0.0625,0.9375,0.0625,0.9375,ablation_higher
KC1,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,precision,supplementary,5,0.394733893557423,0.3932773109243697,-0.0014565826330532495,0.06098033425586135,-0.07717366827698816,0.07426050301088166,-0.023886104443798527,-0.2,6.0,0.8125,1.0,0.9375,1.0,ablation_lower
KC2,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,precision,supplementary,5,0.6754700854700855,0.6890476190476191,0.013577533577533574,0.07211018354405771,-0.07595908523298857,0.10311415238805573,0.1882887119436883,0.06666666666666667,7.0,1.0,1.0,0.75,1.0,ablation_higher
KC2,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,precision,supplementary,5,0.6754700854700855,0.6773737373737373,0.0019036519036518928,0.0899678744777339,-0.10980621883026577,0.11361352263756956,0.02115924061452654,0.0,3.0,1.0,1.0,1.0,1.0,ablation_higher
KC2,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,precision,supplementary,5,0.6754700854700855,0.6792207792207792,0.0037506937506937453,0.14275802968553186,-0.17350681216433572,0.18100819966572324,0.02627308431585805,-0.06666666666666667,7.0,1.0,1.0,0.9375,1.0,ablation_higher
PC1,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,precision,supplementary,5,0.2,0.0,-0.2,0.44721359549995804,-0.75528902103956,0.3552890210395599,-0.44721359549995787,-1.0,0.0,1.0,1.0,1.0,1.0,ablation_lower
PC1,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,precision,supplementary,5,0.2,0.0,-0.2,0.44721359549995804,-0.75528902103956,0.3552890210395599,-0.44721359549995787,-1.0,0.0,1.0,1.0,1.0,1.0,ablation_lower
PC1,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,precision,supplementary,5,0.2,0.0,-0.2,0.44721359549995804,-0.75528902103956,0.3552890210395599,-0.44721359549995787,-1.0,0.0,1.0,1.0,1.0,1.0,ablation_lower
CM1,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,recall,supplementary,5,0.08,0.0,-0.08,0.044721359549995794,-0.13552890210395596,-0.024471097896044028,-1.7888543819998317,-1.0,0.0,0.125,1.0,0.125,1.0,ablation_lower
