epoch,train_loss,validation_loss,validation_roc_auc,validation_pr_auc,learning_rate
1,0.5736180114614006,0.4601390325186545,0.7759326660600546,0.254988569209834,0.001
2,0.3617843969872123,0.3039133784018065,0.7672884440400365,0.2528273809523809,0.001
3,0.24643036252573916,0.2595979106443667,0.7663785259326662,0.2532605325960589,0.001
4,0.2147191615976455,0.26172165354790045,0.7572793448589628,0.25022149118812587,0.001
5,0.20862793645865368,0.2639853348247489,0.7477252047315741,0.25866591382936605,0.001
6,0.20905554232669998,0.2658618330868364,0.7422656960873522,0.26348279658160195,0.001
7,0.2054858850186221,0.2659813269144959,0.7377161055505004,0.26215433931417437,0.001
8,0.2027569640830283,0.26747223031189704,0.7340764331210191,0.27303645729278614,0.001
9,0.20453411580122738,0.2672758638771654,0.7318016378525933,0.3046832461882469,0.0005
10,0.20153222337282595,0.2676271417379728,0.7295268425841676,0.3040345091018968,0.0005
11,0.20168235947550828,0.2688142452062222,0.728161965423112,0.3038788333158617,0.0005
12,0.2044098050310341,0.2687634850323897,0.714968152866242,0.2999856307935282,0.0005
13,0.19979582722827668,0.2700092333494223,0.7131483166515014,0.29948920126742745,0.0005
