variant,dataset,training_seed,split_seed,best_epoch,best_validation_loss,test_loss,roc_auc,pr_auc,accuracy,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,train_samples,validation_samples,test_samples,parameter_count,batch_size,learning_rate,weight_decay,embedding_dim,num_heads,dropout,threshold,input_dimension,checkpoint
A0_full_hybrid_attention,KC1,44,42,10,0.3505715024490698,0.3846974201776363,0.759905949703537,0.36137603277892766,0.8356481481481481,0.4,0.11940298507462686,0.1839080459770115,353,12,59,8,1370,307,432,9985,32,0.001,0.0001,32,4,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a0_full_hybrid_attention_kc1_seed44_best.pt
A0_full_hybrid_attention,KC1,45,42,21,0.3529119337954428,0.38803333457973266,0.7755673686362707,0.3584968728304729,0.8333333333333334,0.3333333333333333,0.07462686567164178,0.12195121951219512,355,10,62,5,1370,307,432,9985,32,0.001,0.0001,32,4,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a0_full_hybrid_attention_kc1_seed45_best.pt
A0_full_hybrid_attention,KC1,46,42,7,0.35145279935012036,0.388069572824019,0.7516458801881006,0.3607128090459869,0.8379629629629629,0.4,0.08955223880597014,0.14634146341463417,356,9,61,6,1370,307,432,9985,32,0.001,0.0001,32,4,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a0_full_hybrid_attention_kc1_seed46_best.pt
A0_full_hybrid_attention,KC2,42,42,24,0.45654897978811554,0.3723921927538785,0.8234349919743178,0.5797099195034576,0.8545454545454545,0.7777777777777778,0.3333333333333333,0.4666666666666666,87,2,14,7,346,66,110,9985,32,0.001,0.0001,32,4,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a0_full_hybrid_attention_kc2_seed42_best.pt
A0_full_hybrid_attention,KC2,43,42,17,0.45388943498784845,0.37995293790643864,0.8226324237560192,0.5769690011433923,0.8454545454545455,0.7,0.3333333333333333,0.45161290322580644,86,3,14,7,346,66,110,9985,32,0.001,0.0001,32,4,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a0_full_hybrid_attention_kc2_seed43_best.pt
A0_full_hybrid_attention,KC2,44,42,14,0.4546857602668531,0.38385829492048784,0.826645264847512,0.5688723083983132,0.8181818181818182,0.5384615384615384,0.3333333333333333,0.41176470588235287,83,6,14,7,346,66,110,9985,32,0.001,0.0001,32,4,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a0_full_hybrid_attention_kc2_seed44_best.pt
A0_full_hybrid_attention,KC2,45,42,17,0.4519465114131118,0.3729456316341053,0.812199036918138,0.5839898082641048,0.8272727272727273,0.5833333333333334,0.3333333333333333,0.4242424242424242,84,5,14,7,346,66,110,9985,32,0.001,0.0001,32,4,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a0_full_hybrid_attention_kc2_seed45_best.pt
A0_full_hybrid_attention,KC2,46,42,17,0.45900734988125885,0.36756794886155564,0.8306581059390047,0.5972346671029973,0.8545454545454545,0.7777777777777778,0.3333333333333333,0.4666666666666666,87,2,14,7,346,66,110,9985,32,0.001,0.0001,32,4,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a0_full_hybrid_attention_kc2_seed46_best.pt
A0_full_hybrid_attention,PC1,42,42,5,0.2637804802833942,0.27438305925439904,0.689534231200898,0.24983707891434692,0.9212962962962963,1.0,0.05555555555555555,0.10526315789473684,198,0,17,1,722,171,216,9985,32,0.001,0.0001,32,4,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a0_full_hybrid_attention_pc1_seed42_best.pt
A0_full_hybrid_attention,PC1,43,42,4,0.26361167300165744,0.27683373802789935,0.688973063973064,0.23370238434496263,0.9166666666666666,0.0,0.0,0.0,198,0,18,0,722,171,216,9985,32,0.001,0.0001,32,4,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a0_full_hybrid_attention_pc1_seed43_best.pt
A0_full_hybrid_attention,PC1,44,42,3,0.26843662838838256,0.2769145205341004,0.6927609427609428,0.23340951669577642,0.9166666666666666,0.0,0.0,0.0,198,0,18,0,722,171,216,9985,32,0.001,0.0001,32,4,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a0_full_hybrid_attention_pc1_seed44_best.pt
A0_full_hybrid_attention,PC1,45,42,5,0.2658954118950325,0.27545568512545693,0.6888327721661055,0.23700799941236267,0.9166666666666666,0.0,0.0,0.0,198,0,18,0,722,171,216,9985,32,0.001,0.0001,32,4,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a0_full_hybrid_attention_pc1_seed45_best.pt
A0_full_hybrid_attention,PC1,46,42,4,0.27144802570865867,0.2771423861936287,0.6830808080808081,0.2455876706674019,0.9166666666666666,0.0,0.0,0.0,198,0,18,0,722,171,216,9985,32,0.001,0.0001,32,4,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a0_full_hybrid_attention_pc1_seed46_best.pt
A1_no_self_attention,CM1,42,42,6,0.31556008543287006,0.2993229934147426,0.6989473684210527,0.2171613460668933,0.9047619047619048,0.0,0.0,0.0,95,0,10,0,309,84,105,1441,32,0.001,0.0001,32,0,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a1_no_self_attention_cm1_seed42_best.pt
A1_no_self_attention,CM1,43,42,7,0.3111932164146787,0.30016391390845887,0.6621052631578946,0.21026439731200453,0.9047619047619048,0.0,0.0,0.0,95,0,10,0,309,84,105,1441,32,0.001,0.0001,32,0,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a1_no_self_attention_cm1_seed43_best.pt
A1_no_self_attention,CM1,44,42,50,0.29881662130355835,0.2818932578677223,0.7652631578947369,0.25525118035080563,0.9047619047619048,0.0,0.0,0.0,95,0,10,0,309,84,105,1441,32,0.001,0.0001,32,0,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a1_no_self_attention_cm1_seed44_best.pt
A1_no_self_attention,CM1,45,42,7,0.30723669699260164,0.2989076296488444,0.6705263157894737,0.18047962474420579,0.9047619047619048,0.0,0.0,0.0,95,0,10,0,309,84,105,1441,32,0.001,0.0001,32,0,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a1_no_self_attention_cm1_seed45_best.pt
A1_no_self_attention,CM1,46,42,7,0.30246814092000324,0.2949165480477469,0.7178947368421054,0.2052056878534711,0.9047619047619048,0.0,0.0,0.0,95,0,10,0,309,84,105,1441,32,0.001,0.0001,32,0,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a1_no_self_attention_cm1_seed46_best.pt
A1_no_self_attention,JM1,42,42,44,0.3988681245203976,0.4026312117911122,0.7222035414260806,0.3812408958415271,0.8406658739595719,0.6125,0.11666666666666667,0.196,2072,31,371,49,8491,2190,2523,1441,32,0.001,0.0001,32,0,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a1_no_self_attention_jm1_seed42_best.pt
A1_no_self_attention,JM1,43,42,5,0.4028886621129023,0.4043699469220955,0.7215485813916627,0.3763454947545194,0.8402695204122077,0.7073170731707317,0.06904761904761905,0.12581344902386118,2091,12,391,29,8491,2190,2523,1441,32,0.001,0.0001,32,0,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a1_no_self_attention_jm1_seed43_best.pt
A1_no_self_attention,JM1,44,42,29,0.3977683496665737,0.40352830986536264,0.7210255190996988,0.3814165845867754,0.8398731668648435,0.6428571428571429,0.08571428571428572,0.15126050420168066,2083,20,384,36,8491,2190,2523,1441,32,0.001,0.0001,32,0,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a1_no_self_attention_jm1_seed44_best.pt
A1_no_self_attention,JM1,45,42,23,0.4022361388353452,0.4050767025303094,0.7177473224192198,0.36849152276776476,0.8394768133174791,0.6415094339622641,0.08095238095238096,0.14376321353065538,2084,19,386,34,8491,2190,2523,1441,32,0.001,0.0001,32,0,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a1_no_self_attention_jm1_seed45_best.pt
A1_no_self_attention,JM1,46,42,33,0.39940311236468623,0.4038346739359616,0.7189457237959378,0.37739047125236147,0.8406658739595719,0.625,0.10714285714285714,0.18292682926829268,2076,27,375,45,8491,2190,2523,1441,32,0.001,0.0001,32,0,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a1_no_self_attention_jm1_seed46_best.pt
A1_no_self_attention,KC1,42,42,42,0.3484052694387467,0.38619667567588667,0.7552443263136374,0.3579188559879194,0.8379629629629629,0.42105263157894735,0.11940298507462686,0.18604651162790697,354,11,59,8,1370,307,432,1441,32,0.001,0.0001,32,0,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a1_no_self_attention_kc1_seed42_best.pt
A1_no_self_attention,KC1,43,42,23,0.3494525105246504,0.38103855842793427,0.7534655489674914,0.35148300305611424,0.8379629629629629,0.42105263157894735,0.11940298507462686,0.18604651162790697,354,11,59,8,1370,307,432,1441,32,0.001,0.0001,32,0,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a1_no_self_attention_kc1_seed43_best.pt
A1_no_self_attention,KC1,44,42,20,0.34917778776600616,0.3802614786006786,0.7540175833162953,0.35347789025585696,0.8402777777777778,0.45,0.13432835820895522,0.20689655172413793,354,11,58,9,1370,307,432,1441,32,0.001,0.0001,32,0,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a1_no_self_attention_kc1_seed44_best.pt
A1_no_self_attention,KC1,45,42,21,0.35090213567503886,0.38194380203882855,0.7526477203025965,0.35446397429309584,0.8379629629629629,0.4,0.08955223880597014,0.14634146341463417,356,9,61,6,1370,307,432,1441,32,0.001,0.0001,32,0,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a1_no_self_attention_kc1_seed45_best.pt
A1_no_self_attention,KC1,46,42,26,0.3507217018825612,0.3773992133361322,0.76485381312615,0.36599153427214315,0.8356481481481481,0.375,0.08955223880597014,0.14457831325301204,355,10,61,6,1370,307,432,1441,32,0.001,0.0001,32,0,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a1_no_self_attention_kc1_seed46_best.pt
A1_no_self_attention,KC2,42,42,7,0.4586474967725349,0.3797238219868053,0.8164794007490638,0.5762030392037278,0.8363636363636363,0.7142857142857143,0.23809523809523808,0.35714285714285715,87,2,16,5,346,66,110,1441,32,0.001,0.0001,32,0,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a1_no_self_attention_kc2_seed42_best.pt
A1_no_self_attention,KC2,43,42,8,0.45427648226420086,0.3833788980137218,0.8277153558052435,0.5834800974568213,0.8363636363636363,0.7142857142857143,0.23809523809523808,0.35714285714285715,87,2,16,5,346,66,110,1441,32,0.001,0.0001,32,0,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a1_no_self_attention_kc2_seed43_best.pt
A1_no_self_attention,KC2,44,42,42,0.4470936746308298,0.36881313757462936,0.8239700374531834,0.5856813324478434,0.8363636363636363,0.6666666666666666,0.2857142857142857,0.4,86,3,15,6,346,66,110,1441,32,0.001,0.0001,32,0,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a1_no_self_attention_kc2_seed44_best.pt
A1_no_self_attention,KC2,45,42,49,0.44903576735294226,0.36715238961306484,0.821294810058855,0.5860060408243986,0.8272727272727273,0.6,0.2857142857142857,0.3870967741935483,85,4,15,6,346,66,110,1441,32,0.001,0.0001,32,0,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a1_no_self_attention_kc2_seed45_best.pt
A1_no_self_attention,KC2,46,42,50,0.44920091195539996,0.36751575036482376,0.8245050829320492,0.5921169377074291,0.8454545454545455,0.75,0.2857142857142857,0.4137931034482759,87,2,15,6,346,66,110,1441,32,0.001,0.0001,32,0,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a1_no_self_attention_kc2_seed46_best.pt
A1_no_self_attention,PC1,42,42,3,0.26409509041678836,0.2760514251335903,0.6801346801346801,0.2279495506488359,0.9166666666666666,0.0,0.0,0.0,198,0,18,0,722,171,216,1441,32,0.001,0.0001,32,0,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a1_no_self_attention_pc1_seed42_best.pt
A1_no_self_attention,PC1,43,42,3,0.2629846953596288,0.27496011086084227,0.6408529741863076,0.18193561560913576,0.9166666666666666,0.0,0.0,0.0,198,0,18,0,722,171,216,1441,32,0.001,0.0001,32,0,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a1_no_self_attention_pc1_seed43_best.pt
A1_no_self_attention,PC1,44,42,3,0.26219270186640364,0.27432499329249066,0.6759259259259259,0.23316834532172342,0.9166666666666666,0.0,0.0,0.0,198,0,18,0,722,171,216,1441,32,0.001,0.0001,32,0,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a1_no_self_attention_pc1_seed44_best.pt
A1_no_self_attention,PC1,45,42,3,0.2595979106443667,0.2741741524250419,0.6574074074074074,0.22745224857346985,0.9166666666666666,0.0,0.0,0.0,198,0,18,0,722,171,216,1441,32,0.001,0.0001,32,0,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a1_no_self_attention_pc1_seed45_best.pt
A1_no_self_attention,PC1,46,42,3,0.263858995068143,0.2722650901586921,0.702300785634119,0.20751070131081872,0.9166666666666666,0.0,0.0,0.0,198,0,18,0,722,171,216,1441,32,0.001,0.0001,32,0,0.1,0.5,8,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a1_no_self_attention_pc1_seed46_best.pt
A2_no_semantic_tokenization,CM1,42,42,25,0.3097365981056577,0.25714844408489407,0.8210526315789474,0.30847409220726235,0.9047619047619048,0.0,0.0,0.0,95,0,10,0,309,84,105,1857,32,0.001,0.0001,32,0,0.1,0.5,21,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a2_no_semantic_tokenization_cm1_seed42_best.pt
A2_no_semantic_tokenization,CM1,43,42,17,0.3098333449590774,0.26937649250030515,0.8157894736842105,0.3087728818635192,0.8857142857142857,0.0,0.0,0.0,93,2,10,0,309,84,105,1857,32,0.001,0.0001,32,0,0.1,0.5,21,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a2_no_semantic_tokenization_cm1_seed43_best.pt
A2_no_semantic_tokenization,CM1,44,42,18,0.28538271359034945,0.25408143997192384,0.8347368421052632,0.27920907912236514,0.9047619047619048,0.0,0.0,0.0,95,0,10,0,309,84,105,1857,32,0.001,0.0001,32,0,0.1,0.5,21,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a2_no_semantic_tokenization_cm1_seed44_best.pt
A2_no_semantic_tokenization,CM1,45,42,16,0.28136871258417767,0.257654637382144,0.8336842105263158,0.31586002546528863,0.9047619047619048,0.0,0.0,0.0,95,0,10,0,309,84,105,1857,32,0.001,0.0001,32,0,0.1,0.5,21,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a2_no_semantic_tokenization_cm1_seed45_best.pt
A2_no_semantic_tokenization,CM1,46,42,15,0.2899415351095654,0.2589221852166312,0.8378947368421054,0.30733547549585283,0.9047619047619048,0.0,0.0,0.0,95,0,10,0,309,84,105,1857,32,0.001,0.0001,32,0,0.1,0.5,21,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a2_no_semantic_tokenization_cm1_seed46_best.pt
A2_no_semantic_tokenization,JM1,42,42,3,0.39919361295221056,0.40558143687706544,0.7221282521567829,0.358819998291559,0.8363059849385652,0.5686274509803921,0.06904761904761905,0.12314225053078556,2081,22,391,29,8491,2190,2523,1857,32,0.001,0.0001,32,0,0.1,0.5,21,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a2_no_semantic_tokenization_jm1_seed42_best.pt
A2_no_semantic_tokenization,JM1,43,42,5,0.3975367630997749,0.40682140601045125,0.7155243076783733,0.36732677987933404,0.8402695204122077,0.6491228070175439,0.0880952380952381,0.15513626834381553,2083,20,383,37,8491,2190,2523,1857,32,0.001,0.0001,32,0,0.1,0.5,21,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a2_no_semantic_tokenization_jm1_seed43_best.pt
A2_no_semantic_tokenization,JM1,44,42,15,0.3963195619381726,0.40620394085921135,0.717776758825261,0.36357489936519405,0.8390804597701149,0.609375,0.09285714285714286,0.16115702479338842,2078,25,381,39,8491,2190,2523,1857,32,0.001,0.0001,32,0,0.1,0.5,21,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a2_no_semantic_tokenization_jm1_seed44_best.pt
A2_no_semantic_tokenization,JM1,45,42,7,0.3978740631037107,0.40523586006118245,0.7200082648370807,0.3675195649075678,0.8378913991280222,0.6170212765957447,0.06904761904761905,0.12419700214132764,2085,18,391,29,8491,2190,2523,1857,32,0.001,0.0001,32,0,0.1,0.5,21,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a2_no_semantic_tokenization_jm1_seed45_best.pt
A2_no_semantic_tokenization,JM1,46,42,9,0.3961654651246659,0.40573188888733697,0.717067454656613,0.3674770049655586,0.8386841062227507,0.6226415094339622,0.07857142857142857,0.1395348837209302,2083,20,387,33,8491,2190,2523,1857,32,0.001,0.0001,32,0,0.1,0.5,21,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a2_no_semantic_tokenization_jm1_seed46_best.pt
A2_no_semantic_tokenization,KC1,42,42,18,0.3574938201360671,0.38812601069609326,0.7725209568595379,0.35750526776735303,0.8425925925925926,0.47368421052631576,0.13432835820895522,0.20930232558139533,355,10,58,9,1370,307,432,1857,32,0.001,0.0001,32,0,0.1,0.5,21,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a2_no_semantic_tokenization_kc1_seed42_best.pt
A2_no_semantic_tokenization,KC1,43,42,11,0.35597010913034993,0.37950007893421034,0.7720098139439787,0.363857230503248,0.8449074074074074,0.5,0.11940298507462686,0.19277108433734938,357,8,59,8,1370,307,432,1857,32,0.001,0.0001,32,0,0.1,0.5,21,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a2_no_semantic_tokenization_kc1_seed43_best.pt
A2_no_semantic_tokenization,KC1,44,42,24,0.34944394856982586,0.3695580975876914,0.7938867307299121,0.40902061204526174,0.8518518518518519,0.56,0.208955223880597,0.30434782608695654,354,11,53,14,1370,307,432,1857,32,0.001,0.0001,32,0,0.1,0.5,21,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a2_no_semantic_tokenization_kc1_seed44_best.pt
A2_no_semantic_tokenization,KC1,45,42,27,0.34898177340189873,0.38883339558486585,0.7784502146800245,0.3678447814740976,0.8402777777777778,0.4444444444444444,0.11940298507462686,0.18823529411764706,355,10,59,8,1370,307,432,1857,32,0.001,0.0001,32,0,0.1,0.5,21,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a2_no_semantic_tokenization_kc1_seed45_best.pt
A2_no_semantic_tokenization,KC1,46,42,9,0.35785554155270516,0.37788806910868045,0.7698425679820077,0.3640017396626458,0.8449074074074074,0.5,0.14925373134328357,0.22988505747126436,355,10,57,10,1370,307,432,1857,32,0.001,0.0001,32,0,0.1,0.5,21,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a2_no_semantic_tokenization_kc1_seed46_best.pt
A2_no_semantic_tokenization,KC2,42,42,21,0.4419103607986913,0.35949092344804245,0.8362760834670946,0.6100757600941549,0.8363636363636363,0.6363636363636364,0.3333333333333333,0.43749999999999994,85,4,14,7,346,66,110,1857,32,0.001,0.0001,32,0,0.1,0.5,21,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a2_no_semantic_tokenization_kc2_seed42_best.pt
A2_no_semantic_tokenization,KC2,43,42,16,0.4446474277611935,0.3735137180848555,0.8226324237560192,0.5766980223585445,0.8454545454545455,0.7,0.3333333333333333,0.45161290322580644,86,3,14,7,346,66,110,1857,32,0.001,0.0001,32,0,0.1,0.5,21,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a2_no_semantic_tokenization_kc2_seed43_best.pt
A2_no_semantic_tokenization,KC2,44,42,5,0.45399215727141407,0.3746659603985873,0.8218298555377208,0.6170613954484876,0.8363636363636363,0.6363636363636364,0.3333333333333333,0.43749999999999994,85,4,14,7,346,66,110,1857,32,0.001,0.0001,32,0,0.1,0.5,21,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a2_no_semantic_tokenization_kc2_seed44_best.pt
A2_no_semantic_tokenization,KC2,45,42,14,0.44440859014337714,0.3720410758798773,0.817281968967362,0.5860225118058418,0.8363636363636363,0.6363636363636364,0.3333333333333333,0.43749999999999994,85,4,14,7,346,66,110,1857,32,0.001,0.0001,32,0,0.1,0.5,21,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a2_no_semantic_tokenization_kc2_seed45_best.pt
A2_no_semantic_tokenization,KC2,46,42,16,0.43387108860593854,0.3533713492480191,0.8416265382557516,0.6374657112881752,0.8545454545454545,0.7777777777777778,0.3333333333333333,0.4666666666666666,87,2,14,7,346,66,110,1857,32,0.001,0.0001,32,0,0.1,0.5,21,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a2_no_semantic_tokenization_kc2_seed46_best.pt
A2_no_semantic_tokenization,PC1,42,42,3,0.26008367124531007,0.2763470102239538,0.6924803591470259,0.2475319330532547,0.9166666666666666,0.0,0.0,0.0,198,0,18,0,722,171,216,1857,32,0.001,0.0001,32,0,0.1,0.5,21,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a2_no_semantic_tokenization_pc1_seed42_best.pt
A2_no_semantic_tokenization,PC1,43,42,4,0.26056237815067784,0.2806723024006243,0.6840628507295173,0.21910388264090364,0.9166666666666666,0.0,0.0,0.0,198,0,18,0,722,171,216,1857,32,0.001,0.0001,32,0,0.1,0.5,21,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\ablation_a2_no_semantic_tokenization_pc1_seed43_best.pt
