dataset,n_seeds,train_samples,validation_samples,test_samples,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,test_loss_mean,test_loss_std,best_validation_loss_mean,best_validation_loss_std,best_epoch_mean,best_epoch_std
CM1,5,309,84,105,0.7987368421052631,0.013028840797276448,0.26280793392223106,0.013785922773521916,0.8895238095238096,0.005216405309573053,0.21666666666666665,0.12638125740085918,0.08,0.044721359549995794,0.11648351648351643,0.06528989352752941,0.2903483999343145,0.009630335086495112,0.28234418290002006,0.011406846039838416,30.0,7.905694150420948
JM1,5,8491,2190,2523,0.722110250662319,0.002622999048293185,0.3792354380074763,0.0035560663890511113,0.8411414982164092,0.0012344361079981972,0.6591247009101033,0.029835767771518425,0.09666666666666664,0.02038462361238474,0.1677261478437791,0.030679746226393582,0.4030203514294259,0.0005433128484862772,0.3984442979097366,0.0006931575691641032,12.8,3.7013511046643495
KC1,5,1370,307,432,0.7610427315477406,0.00890060073194242,0.35857753752154486,0.0024957794762620208,0.837037037037037,0.0026392949655072466,0.394733893557423,0.03626472078422843,0.09552238805970144,0.017017543658196098,0.1534031087437311,0.023308667627244047,0.3871592340645966,0.004239308564865997,0.3519626992630259,0.002695081748662775,13.2,5.674504383644443
KC2,5,346,66,110,0.8231139646869983,0.006871221442376862,0.581355140882453,0.010450680686257508,0.8399999999999999,0.016514456476895374,0.6754700854700855,0.11044904658393202,0.3333333333333333,0.0,0.44419067333678336,0.02507392099444067,0.37534340121529314,0.006493609030620361,0.4552156072674375,0.002687082655609785,17.8,3.7013511046643495
PC1,5,722,171,216,0.6886363636363637,0.0034940828580798887,0.23990893000697006,0.00741611786877953,0.9175925925925925,0.002070433312499864,0.2,0.44721359549995804,0.0111111111111111,0.024845199749997632,0.021052631578947358,0.047075115315785024,0.2761458778270968,0.0011875276288460881,0.26663444385542506,0.0033259156367817966,4.2,0.8366600265340756
