epoch,train_loss,validation_loss,validation_roc_auc,validation_pr_auc,learning_rate
1,0.6071200743076485,0.530945428780147,0.6949013157894737,0.27889046717171717,0.001
2,0.5100758658257889,0.43814892995925175,0.6825657894736843,0.2809358465608466,0.001
3,0.4289995057683161,0.3680345671517508,0.6768092105263158,0.29040750762861706,0.001
4,0.3645287977356741,0.3235855641819182,0.671875,0.29800042861972376,0.001
5,0.31865024518426566,0.30315994081043063,0.6702302631578948,0.3002941170107587,0.001
6,0.29935394839947277,0.2976454297701518,0.6710526315789473,0.30107907590897054,0.001
7,0.2928656540256488,0.29858272132419406,0.6735197368421052,0.30475000084574894,0.001
8,0.28623363578203814,0.2982647844723293,0.6776315789473684,0.30791619696652217,0.001
9,0.2825834144473462,0.29299622774124146,0.6932565789473684,0.31328674372008664,0.001
10,0.27121662177314265,0.29132645754587083,0.703125,0.25251025883838385,0.001
11,0.2703639198468341,0.2921585185187204,0.7047697368421053,0.2638023088023088,0.001
12,0.27051823656150054,0.29089114779517766,0.7179276315789473,0.25177764714694506,0.001
13,0.26652942351924563,0.2886978302683149,0.721217105263158,0.2548076143025516,0.001
14,0.26271890839230283,0.28661383049828665,0.734375,0.2739422813776262,0.001
15,0.2621552887279239,0.2869984535943894,0.740953947368421,0.2707180127041742,0.001
16,0.25683495756781216,0.28563307580493746,0.7393092105263157,0.2641883810146426,0.001
17,0.25468080290698697,0.28879040763491676,0.7376644736842105,0.25823600006226166,0.001
18,0.24787340990740891,0.28538271359034945,0.7393092105263158,0.2742875957854406,0.001
19,0.246188869368297,0.28727554423468454,0.7302631578947368,0.26050591375779086,0.001
20,0.24404748608765092,0.29022052600270226,0.734375,0.2739912131805903,0.001
21,0.23897666718003047,0.29079640053567435,0.734375,0.28094026269429495,0.001
22,0.2380434189799534,0.2903937143938882,0.7286184210526316,0.28469065656565656,0.001
23,0.23147167675317684,0.2937850058078766,0.7261513157894737,0.2964691558441559,0.001
24,0.23498827599977598,0.29384333462942214,0.7179276315789473,0.2925672952933591,0.0005
25,0.2276261388098152,0.2964686013403393,0.7162828947368421,0.28212740868742775,0.0005
26,0.22335281977761526,0.29876478087334407,0.7146381578947368,0.2768416643391834,0.0005
27,0.21708868323406355,0.30179213484128314,0.7179276315789473,0.2799355600826189,0.0005
28,0.21847148360172136,0.2981942920457749,0.7129934210526316,0.30332247782055966,0.0005
