epoch,train_loss,validation_loss,validation_roc_auc,validation_pr_auc,learning_rate
1,0.43623431438077104,0.3701417327218413,0.789455252918288,0.5211181520508583,0.001
2,0.3612634330335325,0.3649888475234423,0.7999221789883268,0.53198166145451,0.001
3,0.3490052527319776,0.3597961995228882,0.8070428015564203,0.541749086191458,0.001
4,0.3464426396537001,0.35555842319800723,0.8084046692607003,0.5428119622848626,0.001
5,0.3449308775202201,0.3544584375590766,0.8096887159533074,0.5428312214646458,0.001
6,0.34107698108593043,0.35611757628789553,0.8082101167315174,0.5374342979781574,0.001
7,0.34040491833303965,0.35145279935012036,0.8107782101167316,0.5304037270524864,0.001
8,0.34072051087435146,0.35210255732462536,0.8094163424124514,0.5302762895246248,0.001
9,0.3406035423713879,0.3569984334348079,0.8087937743190662,0.5381655228439777,0.001
10,0.33566553679695965,0.35329500782373285,0.8064202334630348,0.5263075687025371,0.001
11,0.3354182624033768,0.35888916268604976,0.8062256809338522,0.5171440446022899,0.001
12,0.33556571293921367,0.3541265910533818,0.8050972762645914,0.501628560863094,0.001
13,0.3333923265881782,0.353079145695371,0.8069260700389105,0.4884667862287936,0.0005
14,0.3271309884142702,0.35216992246502776,0.8070038910505837,0.4906381441136979,0.0005
15,0.3272610860584426,0.3558886245329916,0.8056420233463035,0.48641411651094757,0.0005
16,0.3308773661616945,0.3564064194499864,0.8066147859922179,0.48256025612689774,0.0005
17,0.325007834791267,0.3537074610445321,0.8094163424124513,0.48891317479519003,0.0005
