epoch,train_loss,validation_loss,learning_rate
1,0.44398612832254264,0.373022248406382,0.001
2,0.3792830130252421,0.3612998378347363,0.001
3,0.3726003826150548,0.35363433170600755,0.001
4,0.3661577817441977,0.3469733181437092,0.001
5,0.3665316310787837,0.34590440089180624,0.001
6,0.3613344072146801,0.34524295703899227,0.001
7,0.359842914002661,0.34581264024655495,0.001
8,0.35995342616154763,0.34543907236770766,0.001
9,0.35389831089991125,0.3460198861254743,0.001
10,0.3523905178279325,0.3480435230675534,0.0005
11,0.35093693684833505,0.34617602066880854,0.0005
12,0.35076168963783666,0.34599731606844614,0.0005
13,0.35200885482811767,0.3454584546343109,0.0005
14,0.35061099832039394,0.34589096321862123,0.00025
15,0.3510991144701673,0.3457238515453226,0.00025
16,0.34979055814163346,0.345848709521209,0.00025
