threshold,accuracy,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives
0.1,0.6035502958579881,0.26704545454545453,0.9038461538461539,0.41228070175438597,157,129,5,47
0.11,0.6242603550295858,0.2781065088757396,0.9038461538461539,0.4253393665158371,164,122,5,47
0.12,0.6272189349112426,0.27710843373493976,0.8846153846153846,0.42201834862385323,166,120,6,46
0.13,0.6538461538461539,0.2929936305732484,0.8846153846153846,0.44019138755980863,175,111,6,46
0.13999999999999999,0.6686390532544378,0.3,0.8653846153846154,0.44554455445544555,181,105,7,45
0.14999999999999997,0.6775147928994083,0.3006993006993007,0.8269230769230769,0.441025641025641,186,100,9,43
0.15999999999999998,0.6923076923076923,0.3115942028985507,0.8269230769230769,0.45263157894736844,191,95,9,43
0.16999999999999998,0.7071005917159763,0.32061068702290074,0.8076923076923077,0.45901639344262296,197,89,10,42
0.17999999999999997,0.727810650887574,0.3360655737704918,0.7884615384615384,0.47126436781609193,205,81,11,41
0.18999999999999995,0.7248520710059172,0.3217391304347826,0.7115384615384616,0.4431137724550898,208,78,15,37
0.19999999999999996,0.7337278106508875,0.32727272727272727,0.6923076923076923,0.4444444444444444,212,74,16,36
0.20999999999999996,0.7633136094674556,0.35714285714285715,0.6730769230769231,0.4666666666666667,223,63,17,35
0.21999999999999995,0.7662721893491125,0.3448275862068966,0.5769230769230769,0.4316546762589928,229,57,22,30
0.22999999999999995,0.7781065088757396,0.35443037974683544,0.5384615384615384,0.42748091603053434,235,51,24,28
0.23999999999999994,0.7840236686390533,0.36,0.5192307692307693,0.4251968503937008,238,48,25,27
0.24999999999999992,0.7899408284023669,0.36619718309859156,0.5,0.42276422764227645,241,45,26,26
0.2599999999999999,0.7958579881656804,0.36923076923076925,0.46153846153846156,0.41025641025641024,245,41,28,24
0.2699999999999999,0.8017751479289941,0.3770491803278688,0.4423076923076923,0.40707964601769914,248,38,29,23
0.2799999999999999,0.8106508875739645,0.39285714285714285,0.4230769230769231,0.4074074074074074,252,34,30,22
0.2899999999999999,0.8106508875739645,0.3888888888888889,0.40384615384615385,0.39622641509433965,253,33,31,21
0.29999999999999993,0.8195266272189349,0.4117647058823529,0.40384615384615385,0.4077669902912621,256,30,31,21
0.30999999999999994,0.8195266272189349,0.40816326530612246,0.38461538461538464,0.39603960396039606,257,29,32,20
0.3199999999999999,0.8224852071005917,0.4166666666666667,0.38461538461538464,0.4,258,28,32,20
0.32999999999999985,0.8224852071005917,0.41304347826086957,0.36538461538461536,0.3877551020408163,259,27,33,19
0.33999999999999986,0.8254437869822485,0.4222222222222222,0.36538461538461536,0.3917525773195876,260,26,33,19
0.34999999999999987,0.8313609467455622,0.4418604651162791,0.36538461538461536,0.4,262,24,33,19
0.3599999999999999,0.8372781065088757,0.4634146341463415,0.36538461538461536,0.40860215053763443,264,22,33,19
