model,threshold,roc_auc,pr_auc,accuracy,precision,recall,f1
Logistic Regression,0.5,0.7895281189398836,0.4795457367347348,0.7559241706161137,0.3467741935483871,0.6615384615384615,0.455026455026455
Random Forest,0.5,0.8097608274078862,0.48943209529880716,0.8720379146919431,0.6666666666666666,0.3384615384615385,0.4489795918367347
